A\A\B421.wav,家庭军队,家庭军队。
A\B\B785.wav,好的你感觉现在早上起来你有没得精力啊看心情好不好啊早上起来的时候早上起来啊早上起来我没得我精神好啊早上起来,你感觉现在早上起来的尽有没得精力啊？看心情好不好啊？早上起来的时候。
A\B\G229.wav,好我们现在在来一遍哈还有床嗯对,那我们现在再来，嗯。
A\C\C762.wav,这是个衣架嗯这个呀衣架,20根衣架，嗯，那个。
A\B\F89.wav,一种船是啥子安船是哦船呢,嗯，一种船是啥子错了？
A\C\H387.wav,再说请你按照从小到大的顺序把它们连起来从小到大的对,在耍，从笑到打就顺序把它们拈起来。
A\A\E294.wav,水盆没有没有印象,这盘儿没有没有影响。
A\C\C596.wav,这是数字一连到汉字一然后汉字在连数字,哇，汉字一个数字。
A\B\R226.wav,噢这个这个有异常举动是吧就这个嗯你看这个翻箱倒柜的但是不知道她在干嘛,哦，这个这个有异常举动了是吧？嗯，看不晓得他在干嘛？
A\B\D156.wav,嗯好这个呢这个是是马,神马。
A\B\B692.wav,你看这个是啥子量角器嘛嗯这个安转盘好的,你看那个啥子哎，嗯，嗯，这个酸糖，好的。
A\B\H124.wav,家具是桌子书桌哈,桌子，书桌哈。
A\B\D34.wav,你嘞问我说不清楚说不到,
A\B\B643.wav,情绪上的诶对我们需要把情绪上的问题都问一下,嗯，对，这个情况要问一下。
A\C\A44.wav,上和撒子唉上和谁是一对儿啊刚才我说的,上货啥子啊？刚才我说的。
A\A\C394.wav,看到哩好诶个念一下,按倒的挨个捏一下。
A\B\B250.wav,这个安中指这个安无名指这个安小指嗯,在家种子，对的，这个，这个，嗯。
A\B\E384.wav,那他有没有什么异常的举动呢异常的举动就现在还没有到那种,那他有没有什么异常的举动？多久现在还没有到那一脚。
A\C\H53.wav,然后再用双手对折放到大腿上,然后再用双手对着把纸放到大腿上。
A\C\B285.wav,好了我们现在开始哈六二九,可以吗？好啦，我们先开始哈，柳二舅。
A\B\F129.wav,独木舟嘛嗯,独木舟吗？
A\B\G367.wav,那他可以自己打电话那些吗可以,那她可以直接打电话你接不到谁。
A\C\C646.wav,没听到狗狗锤子锤子椅子椅子,轿车眼睛，眼妈。
A\B\D9.wav,啊好的那晚上会不会起夜呢起夜一般都不起夜我一般都不起,哦，好的，那晚上会不会去呢？去。
A\C\F177.wav,图书馆海洋信封,图书馆儿，海呀，皮肤。
A\B\Y274.wav,您回忆一下吧,
A\C\H29.wav,九十三再减七啊九十三再减七,就是选择坚强，嗯，就是三者见清。
A\A\Q691.wav,给你念的词语里面有些是属于身体的各个部位,群里面有些是属于身体各个部位。
A\C\A187.wav,我可以照下来给你行没事可以等她全画完了嘛全画完照过来也行然后下一张是内个图,我可以照下来给你过来一张。
A\A\E176.wav,椅子凉椅凉座椅对这个呢,你整量一量作业。
A\A\E232.wav,然后我们继续进行哈嗯嗯,然后我们继续进行哈。
A\A\B503.wav,饮料没得水盆没得,赢了没得？水分没得。
A\A\A835.wav,刮胡子的哦刮胡刀的嘛最后一遍哈,
A\B\B215.wav,图书馆嗯海洋对的硬币对的,嗯，哎呀，对的，用对的。
A\C\G38.wav,还是记一下哈不要不要不要分散注意力我们现在在做评估哈好我只能说一遍哈皮球国旗树木,还是记一下不要带，不要那个分散距离，我们现在在做苹果哈，好我们在我在我在我只能说一边哈，批球过去数没？
A\B\L42.wav,这一组词焉不需要你把它背到你只需要大概有个印象就行了,这主持也不需要你把它背倒，你只需要大概有个印象就行了。
A\B\B177.wav,啊来我待哈儿我再带你看一遍,来，我等哈儿我再带你看一遍。
A\C\H307.wav,这个是花这个是花棚还是网呀还是垃圾桶呀花盆嗯,这是花这是花胖呀？还是忙呀？还是垃圾桶？
A\A\D278.wav,无所谓了我都八十岁了,无所谓，来得起，我才80岁了。
A\B\Y24.wav,就是这些了吧好像好婆婆比上一次多了四个哈还是有进步,
A\C\E280.wav,哦勒哈儿勒四,我日。
A\B\Z50.wav,他画完了画完了画完没有画完了,他发完了了。
A\B\B758.wav,好婆婆我想问些简单的问题哈你对现在的生活满不满意,好吧，我想问些简单的问题啊，你对现在的生活满不满意？
A\C\H423.wav,我们也没有让她做饭了但是她还是会理一些菜嗯比如说有时候我们弄饭的时候喊她来帮我剥一下菜啊这些她剥菜基本上没问题,我们也没让他做饭啦，但是他还是会给你一些菜，嗯。
A\A\C046.wav,啥子路啥子街你们那晓不晓得,啥子路？啥子该你们那儿晓不晓得？
A\A\B128.wav,打不了那么多针可能就出院了打五针规定了的打五针,脖子哦。
A\B\E197.wav,现在记得那些词安自行车马汽车跑,自行车那骑车泡。
A\A\E039.wav,按照这句话所写的好好好可以了,按照这句话说现，哈哈哈，可以了。
A\C\C135.wav,你要把它们努力记下来哈你念一遍要记下来,努力记下来。
A\A\C442.wav,好指一指屋顶然后指一指地板,好，自已至武定，然后是一致得一半。
A\B\B139.wav,有一个是种汽车部件,有一个是种汽车部件。
A\B\B566.wav,哪张纸嗯嘞里这张嘛,你要抓子。
A\B\G158.wav,不晓得贴在哪里,你不晓得特别的。
A\B\R165.wav,是不是那个花儿花儿哈哎,就是那个。
A\C\B405.wav,好的那您会不会会不会感觉到有些时候会坐立不安心烦意乱呢,那你回不回，会不会感觉到有些时候会坐立不安，心烦意乱哪？
A\A\E081.wav,哪一个是汽车的一部分方向盘,那一个是骑车的一部分，方向盘。
A\B\R207.wav,就说这边的话那我感觉婆婆能做的应该没了差不多了没了然后后面的话可能就是需要问您的了因为要问一下平常的一些平常的一些状况,随便的话那我感觉婆婆弄错的，应该懂，要问一些爱。
A\B\E26.wav,好的你现在在哪个城市重庆高新区,嗯，好的好，你现在在那个城市，重庆高新区。
A\C\G37.wav,还有后面两个呢后来后来两个啊我就没有听清楚了由于那我再说一遍,还有后面两个呢，那我再说一遍。
A\B\E123.wav,问你邮票贴在哪里邮票这里,咋子呢？问你在哪里？
A\C\D610.wav,这个像什么这个我搞不清楚这是一种乐器,那个晓得是么子工，那是一种乐器。
A\C\E170.wav,把信封放在白纸上不不你就把信封和白纸摆在他面前就像唉对把摄像头离远点那哈儿不嗯好叔叔现在假装那张白张白纸是你写给自己的信现在把它折好把它放在信封里面,把娃儿放在被子上吗？你就把信封和被子搬到他面前就行了哎，然后把摄像头离远一点儿，等哈儿不？哈，其实我现在假装那张白纸是你写给自己的信，你先把它最好放在信封里面。
A\B\G139.wav,好阿姨现在我要说口令哈我说口令你要听我的口令我说一个口令你要照做动作哈,那已经在我要输口令哈，我手扣的营养，然后我说一个口令就找做动作哈。
A\B\C60.wav,我们这些地方莫得反正,我们这些地方没得，反正有些那些相。
A\C\C778.wav,那是个别墅哦那个,那是，那不是那是个网百数哦，有三个词。
A\B\S153.wav,用来装液体的物品是水罐,袋装液体动物片，是水果。
A\A\D483.wav,就是记性不好呀觉得他是时好时坏迈还是阶段性的越来越严重哎,就是记性不好呀，你觉得他是时好时坏吗？还是那种阶段性的越来越严重了？
A\C\C661.wav,好比我出门啊拿啥子东西我都要说,嗯，好的，我要出门，我要拿什么东西我都要说。
A\A\D485.wav,保持到的有没有抑郁啊那种或是焦虑的情况,来到迟到的一些焦虑的情况下。
A\A\Q307.wav,见过动物喂的鸡啊鸭啊刚刚你看哩有动物你晓不晓得,你晓不晓得？
A\B\B584.wav,你觉得都没看到过就说都没看过也行,哎呀，没都没看到过，就说都没看到个行。
A\A\Q131.wav,你选一个嘛如果你选不出来就说选不出来嘛,你自己选一个嘛，如果你想不出来就说想不出来嘛。
A\A\C368.wav,然后并且记住这三样东西因为等一会我还会再问您,然后并且借助这三样东西，因为等会儿我还会在外面啊。
A\A\Q759.wav,他体重感觉瘦了体重下降了好多哎,他7:00感觉反正。
A\B\B446.wav,二三四五六七八,是母678。
A\A\Q318.wav,蜡烛看到过的刚刚你听到他念过没得念过的,老子看到刚刚儿听到他那个没得杨哥。
A\B\B583.wav,那这个安这个里头有没有印象安,那这个这头有没得印象哎？
A\B\G196.wav,好你内个阿姨我说一串数字你跟着我念哈,那个我们之前那个，哎呦呵，我水川姝子你跟着我你一下。
A\A\C063.wav,来我说一句话你听到以后来重复好不好嗯,不然现在我说一句话，你听了以后来重复好不好？嗯。
A\C\D275.wav,好下面我给你念一些词语你跟我说你刚刚给你念过没有,我下面给你练习词语哈，你跟我说刚给你练过没有哈？
A\A\A408.wav,完全好了嗯你记性不好是突然不好的还是慢慢不好的慢慢不好的,无处和睦。
A\A\A782.wav,好我提醒水果是啥子水管子水果水果是啥子,红包。
A\B\G337.wav,这样啊那有没有就是说幻觉就是看到听到听不到的东西有没有,又没有就是说幻觉了，就喊到听到听不到的东西。
A\C\H449.wav,嗯那你有没有这种想法说觉得同龄的人大多数人都比你强得多还没这种想法,嗯，那你有没有这种想法？是我觉得同龄的大多数人都比你强得多。
A\A\B615.wav,它是一种乐器,它是它是一种语气。
A\C\C300.wav,呛量儿我在十几岁哦在我在那个那些年轻勒时间那些伤心勒话就要说到,就是以前前友2我我十几岁了，等我嗯，就年轻的时间那些。
A\C\C654.wav,啊内个没有想起来的了没问题没关系已经很好啦,又想不起来啦。
A\C\H33.wav,七十二嗯再减七再减七,这期是72，嗯，找人砌，周建清。
A\C\F191.wav,我们现在不记词了你告诉我屏幕上这些东西是什么东西就行了内是啥子,我现在不去吃了，你们告诉我屏幕上那些东西是什么东西就可以了，这是什么？这是啥子？
A\C\D257.wav,这个看不懂这个是啥子呀这个晓得是,有的看不懂，这个是啥子。
A\A\C110.wav,哎呀想不起来嗯是书桌,嗯，想不起来，而是书桌。
A\A\D258.wav,五九幺七四二八,5917428。
A\C\B240.wav,没见也没见,没见，也没见。
A\C\A167.wav,那这个是什么呀婆婆,那这个是什么呀？婆婆。
A\B\B357.wav,二七五八六二五八四,275862584。
A\B\Y98.wav,好看到了好婆婆,
A\B\R175.wav,哎词不达意对词不达意很严重因为她感觉当时就感觉确实知道但她就是说不出来,嗯，吃不到，因为他说不出来。
A\A\C577.wav,现在我还是后面的测试还是需要你自己回忆一下就是我念过什么词,但是现在我还是后面的，此时还是需要你自己回忆一下，就是问你要个什么字。
A\A\A496.wav,好把铅笔放在卡片的上边再把它拿回来,黄。
A\B\L179.wav,好现在开始哈开始嘛,好，现在开始哈，开始忙。
A\A\Q523.wav,大指姆嘞个哎二指姆,8字母。
A\B\S45.wav,然后这是前四个您看一下可以读一下可以记一下葡萄,然后这是前4个，你看一下可以读一下可以。
A\B\Y172.wav,拿好了嗯好,哦。
A\A\Q499.wav,海洋麦子家庭,好呀，瘤子啦。
A\C\B312.wav,听懂没有阿拉伯字的一连到中国字的一然后又从中国字的一连到阿拉伯数字的二,看到没有，你，然后。
A\C\E377.wav,念了以后你那边边念边记第一个胳膊胳膊,哎，第2个猫，胡子。
A\B\R9.wav,呃她现在大概呃她退休了吗早就退休了,儿子今年大概都退休了吗？早就退休了。
A\A\B422.wav,军队旗子麦子海洋图书馆,菌灯渠子妹子，海洋图书馆。
A\A\D515.wav,那他就是比如说打电话那些得不得行哎,嗯，那他就是比如说，打电话那些得不得行啊。
A\A\B651.wav,心情好不好问你心情好不好心情可以,心情很好，可以。
A\B\Y45.wav,颈椎还有一个颈椎说过了颈椎说过了啊嗯,嗯。
A\A\E090.wav,嗯是葡萄哈葡萄葡萄有一种运动器材我们刚才让您记的,嗯，是葡萄哈，葡萄。
A\B\Z281.wav,这是啥子花这不是这是啥子工具这是啥子工具爸爸不晓得不晓得,
A\C\H44.wav,请闭上你的眼睛嗯按照这句话去做怎么做呀,请闭上你的原因，嗯，按照这句话，说现在意思去做怎么做呀？
A\A\A359.wav,没背到哈没有这个词哈公共汽车公共汽车背到的,如虎情书。
A\C\C281.wav,有有一般都说对人的话都得行都还有精神做事,
A\B\A155.wav,还有呢还有呢海洋直尺鲨鱼硬币,还有呢，还有呢？
A\B\Y441.wav,哦婆婆您早上起来有没有什么不舒服没有,
A\C\B3.wav,好的那婆婆你以前上学上到什么程度呢,坡坡你一天上学上到什么程度呢？
A\C\H333.wav,没读过哈嗯这个呢角落,没读过哈，嗯，这个呢，掉落。
A\C\E227.wav,啥子原因记性恁个撇反正老了吗你自己去嘛,啥子原因进行了个屁。
A\B\L308.wav,嗯你对生活基本上满意不,嗯，你对生活基本上满意不？
A\A\A278.wav,一束花嘞是手锯嗯扫帚嗯萝卜嗯,
A\C\B439.wav,啊自己上厕所啊那些都是可以的哈吃饭那些都可以哈可以的可以的吃饭上厕所,自己上次都说那些都是可以的哈，吃饭那些都可以。
A\B\A142.wav,嗯刚才我们一共看了十个词哈现在您能记到那些您想一下一个都记不到,刚才那么多了4个字哈，现在你弄几道那些。
A\C\H36.wav,一支笔嗯还有呢,资阳，嗯，也是毕业，嗯。
A\C\C673.wav,噢怕冷哈好嘞她情绪有没得不稳定最近,他情绪有没得不稳定最近？
A\C\G117.wav,好婆婆您现在记得哪些词啊啊把刚才你读的哪些词你自己记得到哪些你把它重复出来,你现在还记得那些词啊？啊？
A\A\B481.wav,好这个呢女儿,他这个啦，女儿。
A\B\Y122.wav,十点十分十一点十分哈婆婆,
A\B\S472.wav,他还会找我妈,在吗？
A\A\A413.wav,好你在外头等个几分钟哈好哩,不理我。
A\B\Y193.wav,唉好婆婆还是按照刚才的规律哈从数字到汉字并依次递增,
A\C\D588.wav,是机关枪还是锯子还是刀,是机关枪还是锯子？还是刀？
